claim_id,verdict,checks_low,reasons,as_written,coverage,whose_view,same_issue,cited_case,proposition
0,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.02,0.03,0.76,0.81,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (","The district court's fee award is excessive, causally untethered, and unsupported by line-item findings, violating the Fifth Circuit's mandate in Vaughan."
1,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.0,0.03,0.66,0.54,"Fox v. Vice, 563 U.S. 826 (2011)","The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan."
2,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.01,0.06,0.53,0.62,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)","The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan."
3,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion is about a different legal issue,0.0,0.07,0.73,0.47,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th C","The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan."
4,REVIEW,1,as_written: fully,0.52,0.74,1.0,0.94,"Coghlan v. Starkey, 852 F.2d 806, 809 (5th Cir. 1988)",The Fifth Circuit has cautioned that sanctions must not deter legitimate advocacy.
5,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.01,0.07,0.23,"Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 19","While Rule 11 and § 1927 sanctions are generally reviewed for abuse of discretion, sanctions imposed sua sponte without notice or hearing implicate due process and are reviewed de novo."
6,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.17,0.38,0.79,0.67,"Morrison v. Walker, 939 F.3d 633, 636–37 (5th Cir. 2019)","Experian cites Morrison, which involved repeated filings after dispositive rulings and a clear record of delay."
7,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.03,0.1,0.9,0.89,"Peterson v. BMI Refractories, 124 F.3d 1386, 1396 (11th Cir.","The statute applies only to conduct prolonging litigation after it has begun. It does not reach the filing of a single, non-frivolous pleading supported by evidence."
8,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.01,0.05,0.9,0.88,"Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)","Sanctions are an extraordinary remedy, reserved for conduct that is both objectively unreasonable and undertaken in bad faith."
9,REVIEW,2,adds to or strengthens what the opinion says | coverage: all_parts,0.32,0.46,0.67,0.83,"Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)","Bridgecrest cites Morrison to justify sanctions, but Morrison involved repeated filings after dispositive rulings."
