claim_id,verdict,checks_low,reasons,as_written,coverage,whose_view,same_issue,cited_case,proposition
0,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.02,0.05,"Swierkiewicz v. Sorema N.A., 534 U.S. 506, 514 (2002)","Under Rule 8(b)(6), denials must fairly respond to the substance of the allegation; a party cannot deny facts established by undisputed documentary evidence or already admitted in prior pleadings"
1,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.02,0.06,0.4,0.3,"David v. Caterpillar, Inc., 324 F.3d 851, 857 (7th Cir. 2003",A party cannot claim lack of knowledge about facts within the party's own knowledge or control
2,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.01,0.03,0.25,0.35,"Sojka v. Bovis Lend Lease, Inc., 686 F.3d 394, 398-99 (7th C",A party may not deny on information and belief matters within its personal knowledge or control
4,PROBLEM,3,"quoted text does not appear in the opinion | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not | the opinion is about a different legal issue",0.0,0.04,0.73,0.42,"United States v. Kasuboski, 834 F.2d 1345, 1350 (7th Cir. 19",Judicial admissions in pleadings are binding and may not be controverted at trial absent leave to amend
7,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.02,0.06,"Kraemer v. Franklin & Marshall Coll., 371 F. Supp. 2d 765, 7",Denying facts established by documentary evidence violates Rule 11
8,REVIEW,3,"quoted text is close but not exact | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not | the opinion is about a different legal issue",0.09,0.17,0.96,0.33,"Scott v. Harris, 550 U.S. 372, 380-81 (2007)","Where objective evidence -- particularly video with timestamps -- conclusively disproves a party's account, that account fails as a matter of law"
9,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.09,0.28,"Whitlock v. Brueggemann, 682 F.3d 567, 580 (7th Cir. 2012)",Video evidence that conclusively disproves a party's account defeats that account as a matter of law
10,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.01,0.06,"Anderson v. Branen, 17 F.3d 552, 556 (2d Cir. 1994)","Where timestamps prove a statement was physically impossible when made, the falsehood is necessarily knowing -- not mistaken or negligent"
11,PROBLEM,0,quoted text does not appear in the opinion,0.71,0.87,0.99,0.95,"United States v. McMurtrey, 704 F.3d 502, 508 (7th Cir. 2013",Reckless disregard under Franks is established where an officer has obvious reasons to doubt the truth of what he or she is asserting
12,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.11,0.13,"David v. Caterpillar, Inc., 324 F.3d 851, 857 (7th Cir. 2003",A party cannot claim lack of knowledge about facts within the party's own knowledge or control (applied to defendants' denial of consent timing in paragraph 15)
13,REVIEW,0,quoted text is close but not exact,0.59,0.78,0.99,0.79,"Scott v. Harris, 550 U.S. 372, 380-81 (2007)","When opposing parties tell two different stories, one of which is blatantly contradicted by the record, a court should not adopt that version of the facts (applied to denial of false statement in affidavit, paragraph 14)"
14,REVIEW,2,"quoted text is close but not exact | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.0,0.03,0.89,0.56,"Brady v. Maryland, 373 U.S. 83, 87 (1963)",Evidence is exculpatory if material either to guilt or to punishment; a 0.016% BAC is objectively exculpatory in an OWI case
15,REVIEW,1,adds to or strengthens what the opinion says,0.4,0.74,0.99,0.89,"Franks v. Delaware, 438 U.S. 154, 171 (1978)",Good faith is inconsistent with knowingly or recklessly swearing false statements into warrant affidavits
16,REVIEW,1,quoted text is close but not exact | adds to or strengthens what the opinion says,0.18,0.52,0.98,0.77,"Malley v. Briggs, 475 U.S. 335, 341 (1986)",No qualified immunity for knowingly violating the law
17,PROBLEM,0,quoted text does not appear in the opinion,0.95,0.96,0.99,0.98,"Hafer v. Melo, 502 U.S. 21, 30-31 (1991)",Individual-capacity suits for damages under Section 1983 are not barred by the Eleventh Amendment
18,REVIEW,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.01,0.31,0.28,"Wilson v. Isaacs, 929 N.E.2d 200, 203-04 (Ind. 2010)",Intentional torts such as false arrest and malicious prosecution fall outside ITCA protection
19,REVIEW,1,adds to or strengthens what the opinion says,0.5,0.85,1.0,0.98,"Felder v. Casey, 487 U.S. 131, 138-39 (1988)",State notice-of-claim statutes are preempted when applied to federal Section 1983 actions
20,REVIEW,3,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not | the opinion is about a different legal issue",0.01,0.02,0.73,0.44,"Scott v. Harris, 550 U.S. 372, 380-81 (2007)",Video evidence defeats contradictory account under Scott v. Harris standard (applied to false statement in affidavit deemed admission)
23,REVIEW,1,adds to or strengthens what the opinion says,0.14,0.74,1.0,0.92,"Franks v. Delaware, 438 U.S. 154, 155-56 (1978)","Material falsehood in warrant affidavit, made knowingly or with reckless disregard for truth, voids the warrant"
24,PROBLEM,3,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | whose_view: court,0.01,0.09,0.46,0.82,"Beauchamp v. City of Noblesville, 320 F.3d 733, 743-44 (7th ",Probable cause dissipates when officers receive exculpatory evidence yet fail to act
25,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.09,0.34,0.97,0.81,"Malley v. Briggs, 475 U.S. 335, 341 (1986)",No qualified immunity where officer knowingly violates clearly established law
26,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.02,0.06,"Wolfe v. Little, 382 N.E.2d 1175, 1180 (Ind. Ct. App. 1978)",Malice may be inferred from advancing charges in the face of contrary facts
27,LOOKS OK,0,,0.99,0.99,0.99,0.94,"Dwyer v. McClean, 133 Ind. App. 454, 465-66 (1961)","Malice may also be inferred from the facts which, if established, would constitute want of probable cause"
28,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.01,0.07,"Kraemer v. Franklin & Marshall Coll., 371 F. Supp. 2d 765, 7",Denying facts established by documentary evidence violates Rule 11
