claim_id,verdict,checks_low,reasons,as_written,coverage,whose_view,same_issue,cited_case,proposition
0,REVIEW,0,citation verified only loosely (POSSIBLE_MATCH),0.78,0.82,0.99,0.87,"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",The Ultra Petroleum bankruptcy court established a three-part framework for determining whether make-whole amounts constitute unmatured interest.
1,REVIEW,0,citation verified only loosely (POSSIBLE_MATCH),0.77,0.9,0.74,0.97,"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","Make-whole amounts are liquidated damages compensating for prepayment losses, not for the use of money, and therefore are not unmatured interest disallowed under Section 502(b)(2)."
2,REVIEW,0,citation verified only loosely (POSSIBLE_MATCH),0.99,1.0,1.0,0.96,"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","Economic substance, rather than party labels, controls whether an amount qualifies as unmatured interest."
3,REVIEW,0,citation verified only loosely (POSSIBLE_MATCH),0.9,0.96,0.59,0.96,"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","Make-whole amounts that compensate for reinvestment losses, rather than for the use or forbearance of money, are not unmatured interest."
4,REVIEW,1,adds to or strengthens what the opinion says,0.39,0.81,1.0,0.95,"In re AMR Corp., 730 F.3d 88 (2013)","Automatic acceleration triggered by a bankruptcy filing changes the maturity date from the original stated date to the petition date, precluding make-whole premium claims."
5,LOOKS OK,0,,0.62,0.79,1.0,0.95,"In re AMR Corp., 730 F.3d 88 (2013)","Adopting the reasoning of In re Solutia, the Second Circuit concluded that prepayment can occur only before maturity and that automatic acceleration upon bankruptcy establishes the petition date as the new maturity date."
6,REVIEW,0,citation verified only loosely (POSSIBLE_MATCH),0.88,0.94,0.67,0.95,"Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)",The Second Circuit rejected the argument that issuing replacement notes under a Chapter 11 plan constitutes an optional redemption triggering make-whole premiums.
7,REVIEW,0,citation verified only loosely (POSSIBLE_MATCH),0.82,0.94,1.0,0.93,"Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)",Payments made following automatic acceleration are not made at the debtor's option because the obligation arises automatically from the indenture's acceleration clauses.
11,LOOKS OK,0,,0.74,0.93,1.0,0.96,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)","Under New York law, prepayment premiums are enforceable as liquidated damages if actual damages are difficult to determine and the sum is not plainly disproportionate to the possible loss, measured at contract formation."
12,REVIEW,0,quoted text is close but not exact,0.76,0.9,1.0,0.93,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)","New York courts should not interfere with parties' liquidated damages agreements absent persuasive justification, as the historical distinction between liquidated damages and penalties has become difficult to justify."
13,LOOKS OK,0,,0.92,0.93,1.0,0.96,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)",The party challenging a liquidated damages clause bears the burden of proving it is an unenforceable penalty by showing damages were readily ascertainable or the premium is conspicuously disproportionate to foreseeable losses.
14,LOOKS OK,0,,0.74,0.85,0.96,0.95,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)","Under New York law, a lender generally forfeits the right to a prepayment premium by accelerating the loan following default because acceleration advances the maturity date and eliminates the possibility of prepayment."
15,LOOKS OK,0,,0.91,0.97,1.0,0.89,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)","Two exceptions to the forfeiture rule exist: intentional default to evade the premium, and contracts with clear and unambiguous language requiring premium payment even after default and acceleration."
16,LOOKS OK,0,,0.6,0.69,0.99,0.96,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)","The SDNY bankruptcy court enforced a provision deeming any post-default payment a voluntary prepayment for yield maintenance purposes, finding that language sufficiently clear to survive acceleration."
17,REVIEW,0,quoted text is close but not exact,0.76,0.85,0.99,0.95,"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)",Parties may express their intent regarding post-default premiums in any language that plainly conveys it; deeming a post-default payment a voluntary prepayment confirms rather than forfeits the parties' agreement.
18,REVIEW,1,as_written: fully,0.51,0.57,0.73,0.95,"In re AMR Corp., 730 F.3d 88 (2013)","In AMR, the Second Circuit rejected the argument that refinancing to obtain better rates constituted voluntary redemption when the indenture's automatic acceleration provisions had already operated."
