corpus,claim_id,expected,eligible,cl_status,quote_worst,input_tokens,latency_s,cost_usd,relation,relation_conf,p_contradicts,p_says_nothing,p_partly,p_supports,same_issue,states_it,opposite,overstated,whose_view,whose_conf,p_court,support_score,support_conf
withers,withers-01,green,1,VERIFIED,NO_QUOTES,2994,0.331,0.000126,partly,0.17,0.0,0.3,0.39,0.31,0.33,0.44,0.05,0.81,court,0.44,0.58,1.22,0.53
withers,withers-04,yellow,0,VERIFIED,FABRICATED,2912,0.193,0.000122,supports,0.39,0.02,0.01,0.44,0.53,0.93,0.73,0.12,0.75,court,0.9,0.93,2.03,0.67
withers,withers-05,yellow,1,VERIFIED,NO_QUOTES,1826,0.18,7.7e-05,partly,0.41,0.01,0.02,0.56,0.41,0.88,0.66,0.09,0.86,court,0.88,0.91,1.9,0.77
withers,withers-06,yellow,1,VERIFIED,NO_QUOTES,2918,0.193,0.000123,says_nothing,0.28,0.37,0.46,0.14,0.03,0.34,0.19,0.37,0.75,not_discussed,0.57,0.23,0.89,0.11
withers,withers-07,green,1,VERIFIED,NO_QUOTES,2278,0.14,9.6e-05,supports,0.99,0.0,0.0,0.01,0.99,0.73,0.98,0.02,0.25,court,1.0,1.0,2.96,0.96
withers,withers-09,yellow,0,VERIFIED,CLOSE,2152,0.354,9e-05,partly,0.45,0.02,0.0,0.6,0.38,0.89,0.83,0.14,0.78,court,0.94,0.96,2.31,0.64
withers,withers-10,yellow,0,VERIFIED,FABRICATED,1689,0.148,7.1e-05,supports,0.97,0.0,0.0,0.02,0.98,0.98,0.98,0.01,0.24,court,1.0,1.0,2.97,0.97
withers,withers-11,green,0,VERIFIED_PARTIAL,NO_QUOTES,3414,0.175,0.000143,partly,0.52,0.0,0.0,0.65,0.35,0.91,0.76,0.05,0.84,court,0.97,0.97,2.11,0.75
withers,withers-12,yellow,1,VERIFIED,NO_QUOTES,2238,0.195,9.4e-05,partly,0.63,0.02,0.01,0.72,0.25,0.84,0.82,0.12,0.82,court,0.89,0.92,2.14,0.74
withers,withers-13,yellow,0,VERIFIED,FABRICATED,2210,0.195,9.3e-05,partly,0.61,0.01,0.01,0.7,0.28,0.93,0.73,0.06,0.8,court,0.88,0.91,1.9,0.76
withers,withers-14,yellow,0,VERIFIED,FABRICATED,2711,0.252,0.000114,supports,0.43,0.0,0.0,0.42,0.58,0.95,0.92,0.05,0.69,court,0.99,0.99,2.36,0.57
withers,withers-20,green,0,VERIFIED_PARTIAL,NO_QUOTES,2177,0.154,9.1e-05,partly,0.76,0.16,0.0,0.83,0.01,0.88,0.67,0.79,0.86,court,0.8,0.85,1.89,0.86
withers,withers-21,green,0,VERIFIED,CLOSE,2671,0.191,0.000112,supports,0.67,0.08,0.0,0.17,0.75,0.97,0.92,0.21,0.52,court,0.99,1.0,2.68,0.68
withers,withers-26,green,1,VERIFIED,NO_QUOTES,2545,0.163,0.000107,says_nothing,0.16,0.33,0.37,0.1,0.2,0.7,0.22,0.42,0.72,not_discussed,0.44,0.29,0.75,0.25
withers,withers-30,green,1,VERIFIED,VERBATIM,2601,0.226,0.000109,says_nothing,0.47,0.03,0.59,0.11,0.27,0.75,0.34,0.09,0.68,court,0.26,0.44,1.17,0.42
withers,withers-32,yellow,1,VERIFIED,NO_QUOTES,4177,0.167,0.000175,supports,0.94,0.0,0.0,0.04,0.96,0.94,0.9,0.05,0.28,court,0.99,1.0,2.88,0.88
withers,withers-33,yellow,1,VERIFIED,NO_QUOTES,2284,0.19,9.6e-05,partly,0.36,0.0,0.0,0.53,0.47,0.96,0.96,0.03,0.77,court,0.99,1.0,2.45,0.51
withers,withers-36,green,1,VERIFIED,NO_QUOTES,2302,0.193,9.7e-05,partly,0.44,0.01,0.05,0.58,0.36,0.86,0.62,0.14,0.78,court,0.71,0.79,1.74,0.4
withers,withers-37,yellow,0,VERIFIED,FABRICATED,2533,0.157,0.000106,supports,0.93,0.0,0.0,0.05,0.95,0.97,0.97,0.03,0.48,court,0.96,0.97,2.88,0.88
