corpus,claim_id,expected,eligible,cl_status,quote_worst,input_tokens,latency_s,cost_usd,relation,relation_conf,p_partly,p_says_nothing,p_contradicts,p_supports,same_issue,states_it,opposite,overstated,whose_view,whose_conf,p_court,support_score,support_conf
withers,withers-01,green,1,VERIFIED,NO_QUOTES,9094,0.557,0.000382,supports,0.24,0.28,0.28,0.0,0.44,0.36,0.32,0.05,0.82,not_discussed,0.48,0.39,1.13,0.45
withers,withers-04,yellow,0,VERIFIED,FABRICATED,3355,0.196,0.000141,supports,0.33,0.48,0.01,0.01,0.5,0.94,0.7,0.1,0.77,court,0.9,0.93,1.96,0.64
withers,withers-05,yellow,1,VERIFIED,NO_QUOTES,2804,0.137,0.000118,partly,0.32,0.49,0.04,0.01,0.46,0.88,0.59,0.11,0.88,court,0.76,0.82,1.81,0.62
withers,withers-06,yellow,1,VERIFIED,NO_QUOTES,7989,0.183,0.000336,says_nothing,0.16,0.26,0.37,0.29,0.08,0.45,0.23,0.32,0.67,not_discussed,0.75,0.12,0.85,0.15
withers,withers-07,green,1,VERIFIED,NO_QUOTES,5350,0.187,0.000225,supports,0.97,0.02,0.0,0.0,0.98,0.68,0.96,0.03,0.38,court,1.0,1.0,2.7,0.7
withers,withers-09,yellow,0,VERIFIED,CLOSE,4395,0.188,0.000185,partly,0.38,0.54,0.0,0.02,0.44,0.92,0.86,0.12,0.75,court,0.94,0.95,2.34,0.62
withers,withers-10,yellow,0,VERIFIED,FABRICATED,2726,0.152,0.000114,supports,0.97,0.02,0.0,0.0,0.98,0.98,0.98,0.01,0.24,court,1.0,1.0,2.98,0.98
withers,withers-11,green,0,VERIFIED_PARTIAL,NO_QUOTES,6428,0.187,0.00027,partly,0.58,0.68,0.01,0.0,0.31,0.88,0.51,0.06,0.88,court,0.69,0.78,1.93,0.75
withers,withers-12,yellow,1,VERIFIED,NO_QUOTES,4481,0.188,0.000188,partly,0.42,0.56,0.01,0.01,0.42,0.87,0.81,0.09,0.81,court,0.93,0.95,2.25,0.62
withers,withers-13,yellow,0,VERIFIED,FABRICATED,2800,0.258,0.000118,partly,0.5,0.63,0.01,0.01,0.35,0.93,0.74,0.06,0.77,court,0.85,0.9,1.95,0.71
withers,withers-14,yellow,0,VERIFIED,FABRICATED,6688,0.246,0.000281,supports,0.53,0.34,0.0,0.01,0.65,0.97,0.91,0.04,0.59,court,0.98,0.99,2.46,0.5
withers,withers-20,green,0,VERIFIED_PARTIAL,NO_QUOTES,2932,0.189,0.000123,partly,0.75,0.81,0.0,0.16,0.03,0.87,0.69,0.77,0.83,court,0.77,0.84,1.84,0.8
withers,withers-21,green,0,VERIFIED,CLOSE,3496,0.189,0.000147,supports,0.77,0.12,0.0,0.05,0.83,0.97,0.95,0.14,0.49,court,1.0,1.0,2.72,0.72
withers,withers-26,green,1,VERIFIED,NO_QUOTES,9657,0.188,0.000406,says_nothing,0.48,0.06,0.62,0.27,0.05,0.59,0.11,0.25,0.65,not_discussed,0.84,0.08,0.43,0.57
withers,withers-30,green,1,VERIFIED,VERBATIM,6264,0.216,0.000263,says_nothing,0.54,0.07,0.65,0.02,0.26,0.74,0.38,0.07,0.63,court,0.34,0.51,0.71,0.29
withers,withers-32,yellow,1,VERIFIED,NO_QUOTES,9550,0.206,0.000401,supports,0.92,0.05,0.0,0.0,0.95,0.96,0.89,0.04,0.25,court,0.99,1.0,2.93,0.93
withers,withers-33,yellow,1,VERIFIED,NO_QUOTES,17612,0.228,0.00074,supports,0.65,0.26,0.0,0.0,0.74,0.92,0.96,0.04,0.67,court,0.99,1.0,2.54,0.54
withers,withers-36,green,1,VERIFIED,NO_QUOTES,8737,0.234,0.000367,supports,0.43,0.38,0.04,0.01,0.57,0.84,0.72,0.11,0.73,court,0.82,0.86,2.04,0.39
withers,withers-37,yellow,0,VERIFIED,FABRICATED,7747,0.205,0.000325,supports,0.97,0.02,0.0,0.0,0.98,0.97,0.98,0.03,0.4,court,0.96,0.97,2.97,0.97
withers,withers-38,yellow,0,VERIFIED,CLOSE,7220,0.161,0.000303,supports,0.98,0.01,0.0,0.0,0.99,0.72,0.98,0.03,0.38,court,1.0,1.0,2.88,0.88
withers,withers-39,green,1,VERIFIED,NO_QUOTES,12091,0.212,0.000508,supports,0.37,0.46,0.0,0.01,0.53,0.81,0.92,0.13,0.62,court,0.8,0.86,2.31,0.48
withers,withers-41,yellow,1,VERIFIED,NO_QUOTES,14154,0.219,0.000594,says_nothing,0.63,0.1,0.72,0.11,0.07,0.37,0.25,0.17,0.86,not_discussed,0.77,0.13,0.66,0.44
withers,withers-44,yellow,1,VERIFIED,NO_QUOTES,3726,0.15,0.000156,supports,0.39,0.46,0.0,0.0,0.54,0.92,0.91,0.11,0.68,court,0.99,0.99,2.36,0.58
withers,withers-45,yellow,0,VERIFIED,FABRICATED,4596,0.177,0.000193,supports,0.83,0.12,0.0,0.01,0.87,0.91,0.95,0.04,0.79,court,0.99,0.99,2.72,0.72
withers,withers-46,green,1,VERIFIED,NO_QUOTES,9737,0.232,0.000409,supports,0.72,0.19,0.01,0.01,0.79,0.96,0.94,0.04,0.52,court,0.99,1.0,2.4,0.4
withers,withers-47,yellow,1,VERIFIED,NO_QUOTES,11680,0.23,0.000491,says_nothing,0.97,0.0,0.98,0.01,0.01,0.04,0.05,0.1,0.91,not_discussed,0.96,0.01,0.09,0.91
withers,withers-48,yellow,1,VERIFIED,NO_QUOTES,20455,0.336,0.000859,says_nothing,0.98,0.0,0.99,0.0,0.01,0.04,0.07,0.12,0.87,not_discussed,0.98,0.01,0.05,0.95
withers,withers-49,yellow,1,VERIFIED,NO_QUOTES,5130,0.176,0.000215,supports,0.76,0.06,0.08,0.03,0.83,0.52,0.46,0.16,0.6,not_discussed,0.45,0.28,1.95,0.0
withers,withers-50,green,1,VERIFIED,NO_QUOTES,13053,0.221,0.000548,supports,0.85,0.11,0.0,0.0,0.89,0.95,0.93,0.08,0.45,court,1.0,1.0,2.79,0.79
payne,payne-00,green,1,VERIFIED,NO_QUOTES,13836,0.243,0.000581,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.97,0.02,0.2,court,1.0,1.0,2.98,0.98
payne,payne-02,red,0,POSSIBLE_MATCH,NO_QUOTES,2312,0.169,9.7e-05,says_nothing,1.0,0.0,1.0,0.0,0.0,0.01,0.02,0.07,0.92,not_discussed,1.0,0.0,0.0,1.0
payne,payne-03,red,1,VERIFIED,NO_QUOTES,6965,0.211,0.000293,says_nothing,0.93,0.02,0.95,0.01,0.02,0.22,0.18,0.14,0.81,not_discussed,0.84,0.11,0.14,0.86
payne,payne-11,red,1,VERIFIED,NO_QUOTES,3447,0.186,0.000145,says_nothing,0.76,0.07,0.82,0.02,0.09,0.22,0.16,0.18,0.76,not_discussed,0.82,0.12,0.32,0.68
payne,payne-12,red,0,VERIFIED,FABRICATED,3452,0.163,0.000145,says_nothing,0.99,0.0,1.0,0.0,0.0,0.09,0.12,0.12,0.78,not_discussed,0.92,0.05,0.06,0.94
payne,payne-14,red,0,VERIFIED,FABRICATED,5088,0.193,0.000214,says_nothing,0.95,0.02,0.96,0.01,0.01,0.17,0.09,0.23,0.85,not_discussed,0.89,0.05,0.07,0.93
payne,payne-15,red,0,LIKELY_REAL,FABRICATED,3834,0.179,0.000161,says_nothing,1.0,0.0,1.0,0.0,0.0,0.02,0.03,0.08,0.89,not_discussed,0.99,0.0,0.01,0.99
payne,payne-16,green,1,VERIFIED,NO_QUOTES,5472,0.214,0.00023,supports,0.57,0.28,0.01,0.03,0.68,0.82,0.78,0.13,0.62,court,0.9,0.93,2.41,0.41
payne,payne-23,red,0,POSSIBLE_MATCH,NO_QUOTES,4457,0.231,0.000187,says_nothing,0.97,0.0,0.98,0.01,0.01,0.08,0.09,0.18,0.82,not_discussed,0.95,0.03,0.08,0.92
payne,payne-32,green,1,VERIFIED,VERBATIM,3586,0.211,0.000151,supports,0.97,0.02,0.0,0.0,0.98,0.93,0.97,0.08,0.66,court,0.86,0.9,2.78,0.78
payne,payne-33,green,1,VERIFIED,VERBATIM,4033,0.171,0.000169,supports,1.0,0.0,0.0,0.0,1.0,0.96,0.99,0.02,0.17,court,0.99,1.0,2.99,0.99
payne,payne-34,green,1,VERIFIED,VERBATIM,7518,0.252,0.000316,supports,1.0,0.0,0.0,0.0,1.0,0.95,0.98,0.02,0.38,court,1.0,1.0,2.96,0.96
payne,payne-38,green,1,VERIFIED,VERBATIM,5989,0.177,0.000252,supports,0.97,0.02,0.0,0.0,0.98,0.94,0.97,0.04,0.38,court,0.99,1.0,2.92,0.92
payne,payne-42,green,1,VERIFIED,NO_QUOTES,2809,0.201,0.000118,supports,0.98,0.02,0.0,0.0,0.98,0.95,0.98,0.03,0.21,court,0.98,0.99,2.96,0.96
payne,payne-43,green,1,VERIFIED,NO_QUOTES,2835,0.169,0.000119,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.98,0.03,0.21,court,0.98,0.98,2.98,0.98
payne,payne-47,green,1,VERIFIED,NO_QUOTES,3867,0.17,0.000162,partly,0.32,0.49,0.12,0.01,0.38,0.61,0.7,0.1,0.79,court,0.4,0.55,1.15,0.62
payne,payne-48,green,1,VERIFIED,NO_QUOTES,11010,0.223,0.000462,supports,0.98,0.01,0.0,0.0,0.99,0.92,0.97,0.04,0.63,court,0.99,1.0,2.76,0.76
payne,payne-50,red,1,VERIFIED,NO_QUOTES,2599,0.169,0.000109,says_nothing,0.94,0.02,0.96,0.0,0.02,0.06,0.07,0.15,0.91,not_discussed,0.9,0.07,0.12,0.88
payne,payne-52,yellow,1,VERIFIED,NO_QUOTES,6113,0.159,0.000257,contradicts,0.34,0.13,0.32,0.5,0.05,0.22,0.18,0.62,0.83,not_discussed,0.6,0.23,0.66,0.34
payne,payne-54,green,1,VERIFIED,NO_QUOTES,7623,0.203,0.00032,supports,0.95,0.03,0.0,0.0,0.97,0.87,0.95,0.06,0.48,court,0.98,0.99,2.73,0.73
payne,payne-58,yellow,0,VERIFIED,FABRICATED,1661,0.178,7e-05,supports,0.89,0.07,0.0,0.0,0.93,0.94,0.95,0.05,0.44,court,0.98,0.99,2.84,0.84
payne,payne-59,yellow,0,VERIFIED,FABRICATED,3323,0.153,0.00014,says_nothing,0.36,0.29,0.53,0.01,0.17,0.45,0.23,0.16,0.83,not_discussed,0.7,0.22,0.74,0.46
payne,payne-69,green,1,VERIFIED,VERBATIM,5448,0.199,0.000229,supports,0.97,0.02,0.0,0.0,0.98,0.92,0.96,0.05,0.34,court,0.99,1.0,2.92,0.92
payne,payne-73,green,1,VERIFIED,VERBATIM,4114,0.166,0.000173,supports,0.79,0.16,0.0,0.0,0.84,0.95,0.98,0.04,0.44,court,0.99,1.0,2.82,0.82
payne,payne-75,green,1,VERIFIED,NO_QUOTES,9942,0.181,0.000418,supports,0.93,0.05,0.0,0.0,0.95,0.98,0.97,0.03,0.53,court,0.99,0.99,2.98,0.98
payne,payne-77,green,1,VERIFIED,VERBATIM,4133,0.175,0.000174,supports,1.0,0.0,0.0,0.0,1.0,0.87,0.99,0.02,0.21,court,1.0,1.0,2.98,0.98
payne,payne-79,red,0,VERIFIED,FABRICATED,9392,0.164,0.000394,contradicts,0.4,0.38,0.05,0.55,0.02,0.7,0.3,0.51,0.86,court,0.42,0.57,0.9,0.59
wainwright,wainwright-00,green,1,VERIFIED,NO_QUOTES,9937,0.258,0.000417,supports,0.9,0.05,0.01,0.02,0.92,0.92,0.89,0.18,0.43,court,0.96,0.98,2.84,0.84
wainwright,wainwright-01,green,1,VERIFIED,NO_QUOTES,3336,0.188,0.00014,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.99,0.02,0.16,court,1.0,1.0,2.99,0.99
wainwright,wainwright-02,green,1,VERIFIED,VERBATIM,3336,0.214,0.00014,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.99,0.02,0.16,court,1.0,1.0,3.0,1.0
wainwright,wainwright-03,green,1,VERIFIED,NO_QUOTES,5284,0.208,0.000222,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.99,0.02,0.25,court,1.0,1.0,2.99,0.99
wainwright,wainwright-04,green,1,VERIFIED,NO_QUOTES,4970,0.156,0.000209,supports,0.7,0.22,0.0,0.0,0.78,0.96,0.97,0.03,0.72,court,0.99,0.99,2.87,0.87
wainwright,wainwright-05,green,1,VERIFIED,NO_QUOTES,3326,0.143,0.00014,supports,1.0,0.0,0.0,0.0,1.0,0.96,0.97,0.03,0.34,court,1.0,1.0,2.98,0.98
wainwright,wainwright-06,green,1,VERIFIED,NO_QUOTES,5274,0.191,0.000222,supports,0.94,0.04,0.0,0.0,0.96,0.95,0.92,0.05,0.54,court,0.97,0.98,2.67,0.67
wainwright,wainwright-07,green,1,VERIFIED,NO_QUOTES,13815,0.195,0.00058,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.98,0.02,0.2,court,1.0,1.0,2.99,0.99
wainwright,wainwright-08,green,1,VERIFIED,NO_QUOTES,3129,0.178,0.000131,supports,1.0,0.0,0.0,0.0,1.0,0.96,0.98,0.02,0.29,court,1.0,1.0,2.99,0.99
wainwright,wainwright-09,green,1,VERIFIED,NO_QUOTES,12254,0.215,0.000515,contradicts,0.55,0.25,0.02,0.66,0.07,0.71,0.19,0.75,0.62,court,0.44,0.58,1.1,0.52
wainwright,wainwright-10,green,0,VERIFIED,CLOSE,5305,0.219,0.000223,supports,0.98,0.01,0.0,0.0,0.99,0.93,0.94,0.05,0.35,court,0.94,0.96,2.9,0.9
wainwright,wainwright-11,green,0,,NO_QUOTES,12270,0.236,0.000515,supports,0.75,0.17,0.01,0.01,0.81,0.9,0.86,0.08,0.46,court,0.98,0.99,2.59,0.59
wainwright,wainwright-12,green,0,VERIFIED,CLOSE,5279,0.246,0.000222,supports,1.0,0.0,0.0,0.0,1.0,0.95,0.97,0.04,0.17,court,0.99,1.0,2.97,0.97
wainwright,wainwright-13,green,1,VERIFIED,NO_QUOTES,3092,0.246,0.00013,supports,1.0,0.0,0.0,0.0,1.0,0.93,0.98,0.04,0.17,court,1.0,1.0,2.97,0.97
wainwright,wainwright-14,green,1,VERIFIED,VERBATIM,5301,0.141,0.000223,supports,0.2,0.39,0.19,0.02,0.4,0.78,0.56,0.14,0.76,court,0.64,0.74,1.41,0.21
wainwright,wainwright-15,green,1,VERIFIED,NO_QUOTES,3866,0.191,0.000162,supports,0.74,0.09,0.04,0.07,0.8,0.83,0.73,0.11,0.52,court,0.9,0.93,2.14,0.14
wainwright,wainwright-16,green,0,VERIFIED,FABRICATED,2573,0.215,0.000108,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.99,0.02,0.16,court,1.0,1.0,2.99,0.99
wainwright,wainwright-17,green,0,VERIFIED,CLOSE,4525,0.195,0.00019,partly,0.27,0.45,0.0,0.31,0.24,0.94,0.47,0.72,0.7,party,0.79,0.16,1.79,0.54
wainwright,wainwright-18,green,1,VERIFIED,NO_QUOTES,1782,0.173,7.5e-05,supports,0.93,0.05,0.0,0.0,0.95,0.97,0.95,0.04,0.55,court,1.0,1.0,2.94,0.94
wainwright,wainwright-19,green,1,VERIFIED,NO_QUOTES,2620,0.185,0.00011,supports,0.81,0.13,0.0,0.01,0.86,0.95,0.91,0.2,0.6,court,0.97,0.98,2.54,0.54
wainwright,wainwright-20,green,1,VERIFIED,NO_QUOTES,2153,0.262,9e-05,supports,0.94,0.04,0.0,0.0,0.96,0.97,0.96,0.05,0.5,court,0.96,0.97,2.98,0.98
wainwright,wainwright-21,green,1,VERIFIED,VERBATIM,3847,0.197,0.000162,supports,0.98,0.02,0.0,0.0,0.98,0.94,0.97,0.07,0.27,court,0.81,0.86,2.89,0.89
wainwright,wainwright-22,green,1,VERIFIED,NO_QUOTES,4022,0.162,0.000169,supports,0.89,0.08,0.0,0.0,0.92,0.97,0.95,0.04,0.69,court,0.99,1.0,2.89,0.89
wainwright,wainwright-23,green,1,VERIFIED,VERBATIM,3746,0.263,0.000157,supports,0.7,0.22,0.0,0.0,0.78,0.95,0.98,0.05,0.7,court,1.0,1.0,2.77,0.77
wainwright,wainwright-24,green,1,VERIFIED,NO_QUOTES,2831,0.155,0.000119,supports,0.72,0.2,0.0,0.0,0.8,0.96,0.93,0.07,0.6,court,0.98,0.99,2.77,0.77
wainwright,wainwright-25,green,1,VERIFIED,VERBATIM,3888,0.155,0.000163,supports,1.0,0.0,0.0,0.0,1.0,0.95,0.96,0.05,0.42,court,1.0,1.0,2.96,0.96
wainwright,wainwright-26,green,0,VERIFIED,CLOSE,3130,0.156,0.000131,supports,0.93,0.05,0.0,0.0,0.95,0.96,0.96,0.13,0.37,court,0.78,0.83,2.82,0.82
wainwright,wainwright-27,green,0,VERIFIED,CLOSE,3020,0.188,0.000127,supports,0.97,0.02,0.0,0.0,0.98,0.96,0.97,0.06,0.41,court,0.98,0.99,2.95,0.95
wainwright,wainwright-28,green,1,VERIFIED,NO_QUOTES,6257,0.177,0.000263,supports,0.23,0.05,0.35,0.17,0.43,0.32,0.36,0.13,0.56,not_discussed,0.36,0.43,1.68,0.0
wainwright,wainwright-29,green,1,VERIFIED,NO_QUOTES,6086,0.157,0.000256,supports,0.97,0.02,0.0,0.0,0.98,0.98,0.97,0.09,0.35,court,1.0,1.0,2.93,0.93
wainwright,wainwright-30,green,1,VERIFIED,NO_QUOTES,3374,0.265,0.000142,partly,0.5,0.63,0.2,0.09,0.08,0.81,0.19,0.41,0.78,court,0.36,0.51,0.92,0.08
wainwright,wainwright-31,green,1,VERIFIED,NO_QUOTES,2755,0.287,0.000116,partly,0.33,0.5,0.09,0.35,0.06,0.79,0.35,0.46,0.81,court,0.34,0.5,1.65,0.52
wainwright,wainwright-32,green,0,VERIFIED,CLOSE,6698,0.195,0.000281,supports,1.0,0.0,0.0,0.0,1.0,0.96,0.99,0.02,0.13,court,0.98,0.98,2.99,0.99
wainwright,wainwright-33,green,1,VERIFIED,NO_QUOTES,6875,0.191,0.000289,supports,0.95,0.03,0.0,0.0,0.97,0.95,0.96,0.03,0.43,court,0.98,0.99,2.91,0.91
