claim_id,page,proposition,cited_for,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,brief_sentence,quote_check,quote_check_worst,quote_floor,crosscheck_flags,triage_track,prescreen_hint,support,badge_label,brief_block,opinion_block,finding_analysis,assessed_by
aliaj-rochelle-park-01,4,"To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face.",,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to 'state a claim to relief that is plausible on its face;'""]","To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face.","[{""quote"": ""To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to 'state a claim to relief that is plausible on its face;'"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to \u201cstate a claim to relief that is plausible on its face.\u201d Id., at 570 .""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-02,4,"To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face.",,"Bell Atlantic Corp. v. Twombly, 550 U.S. 544, 570 (2007)",Bell Atlantic Corp. v. Twombly,,,https://www.courtlistener.com/opinion/145730/bell-atlantic-corp-v-twombly/,VERIFIED,,opinions/Bell_Atlantic_Corp_v_Twombly.html,,"[""state a claim to relief that is plausible on its face""]","To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face.","[{""quote"": ""state a claim to relief that is plausible on its face"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""do not require heightened fact pleading of specifics, but only enough facts to state a claim to relief that is plausible on its face.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-03,4,A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.,,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged""]",A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.,"[{""quote"": ""A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged. Id., at 556 .""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-04,4,The plausibility standard requires more than a sheer possibility that a defendant has acted unlawfully.,,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""more than a sheer possibility that a defendant has acted unlawfully""]",The plausibility standard requires more than a sheer possibility that a defendant has acted unlawfully.,"[{""quote"": ""more than a sheer possibility that a defendant has acted unlawfully"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""ausibility standard is not akin to a \u201cprobability requirement,\u201d but it asks for more than a sheer possibility that a defendant has acted unlawfully. Ibid.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-05,4,"A plaintiff's obligation to provide the grounds of his entitlement to relief requires more than labels and conclusions, and a formulaic recitation of the elements of a cause of action will not do.",,"Burtch v. Milberg Factors, Inc., 662 F.3d 212, 220 (3d Cir. 2011)","Burtch v. Milberg Factors, Inc.",,,https://www.courtlistener.com/opinion/615939/burtch-v-milberg-factors-inc/,VERIFIED,,opinions/Burtch_v_Milberg_Factors_Inc.html,,"[""a plaintiff's obligation to provide the grounds of his entitle[ment] to relief requires more than labels and conclusions, and a formulaic recitation of the elements of a cause of action will not do""]","A plaintiff's obligation to provide the grounds of his entitlement to relief requires more than labels and conclusions, and a formulaic recitation of the elements of a cause of action will not do.","[{""quote"": ""a plaintiff's obligation to provide the grounds of his entitle[ment] to relief requires more than labels and conclusions, and a formulaic recitation of the elements of a cause of action will not do"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Gibson, 355 U.S. 41, 47 , 78 S.Ct. 99 , 2 L.Ed.2d 80 (1957)). \u201c[A] plaintiffs obligation to provide the grounds of his entitle[ment] to relief requires more than labels and conclusions, and a formulaic recitation of the elements of a cause of action will not do.\u201d Id. at 555, 127 S.Ct.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-06,4,"When reviewing a motion to dismiss, the complaint is construed in the light most favorable to the plaintiff.",,"Burtch v. Milberg Factors, Inc., 662 F.3d 212, 220 (3d Cir. 2011)","Burtch v. Milberg Factors, Inc.",,,https://www.courtlistener.com/opinion/615939/burtch-v-milberg-factors-inc/,VERIFIED,,opinions/Burtch_v_Milberg_Factors_Inc.html,,"[""in the light most favorable to the plaintiff""]","When reviewing a motion to dismiss, the complaint is construed in the light most favorable to the plaintiff.","[{""quote"": ""in the light most favorable to the plaintiff"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""When reviewing a motion to dismiss, we construe the complaint \u201cin the light most favorable to the plaintiff.\u201d In re Ins.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-07,4,A court need not credit either bald assertions or legal conclusions in a complaint when deciding a motion to dismiss.,,"Evancho v. Fisher, 423 F.3d 347, 351 (3d Cir. 2005)",Evancho v. Fisher,,,https://www.courtlistener.com/opinion/3015189/evancho-v-fisher/,VERIFIED,,opinions/Evancho_v_Fisher.html,,"[""However, a court need not credit either \""bald assertions\"" or \""legal conclusions\"" in a complaint when deciding a motion to dismiss""]",A court need not credit either bald assertions or legal conclusions in a complaint when deciding a motion to dismiss.,"[{""quote"": ""However, a court need not credit either \""bald assertions\"" or \""legal conclusions\"" in a complaint when deciding a motion to dismiss"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Pa. Dep\u2019t of Health, 561 F.2d 489 , 492 (3d Cir.1977). However, a court need not credit either \u201cbald assertions\u201d or \u201clegal conclusions\u201d in a complaint when deciding a motion to dismiss. In re Burlington Coat Factory Sec.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-08,5,Situations may arise where the factual detail in a complaint is so undeveloped that it does not provide a defendant the type of notice of claim which is contemplated by Rule 8.,,"Phillips v. County of Allegheny, 515 F.3d 224, 232 (3d Cir. 2008)",Phillips v. County of Allegheny,,,https://www.courtlistener.com/opinion/1387268/phillips-v-county-of-allegheny/,VERIFIED,,opinions/Phillips_v_County_of_Allegheny.html,,"[""the factual detail in a complaint is so undeveloped that it does not provide a defendant the type of notice of claim which is contemplated by Fed R.Civ.P. 8""]",Situations may arise where the factual detail in a complaint is so undeveloped that it does not provide a defendant the type of notice of claim which is contemplated by Rule 8.,"[{""quote"": ""the factual detail in a complaint is so undeveloped that it does not provide a defendant the type of notice of claim which is contemplated by Fed R.Civ.P. 8"", ""result"": ""CLOSE"", ""similarity"": 0.96, ""matched_passage"": ""derstand the Court to instruct that a situation may arise where, at some point, the factual detail in a complaint is so undeveloped that it does not provide a defendant the type of notice of claim which is contemplated by Rule 8. See Airborne Beepers Video, Inc., v. AT T Mobility L.L."", ""alterations"": [""fed r civ p -> rule""]}]",CLOSE,Yellow,,,,,,,,,
aliaj-rochelle-park-09,5,"Rule 8(a)(2) requires a showing rather than a blanket assertion of an entitlement to relief, and without some factual allegation in the complaint a claimant cannot satisfy the requirement of providing the grounds on which the claim rests.",,"Phillips v. County of Allegheny, 515 F.3d 224, 232 (3d Cir. 2008)",Phillips v. County of Allegheny,,,https://www.courtlistener.com/opinion/1387268/phillips-v-county-of-allegheny/,VERIFIED,,opinions/Phillips_v_County_of_Allegheny.html,,"[""Fed.R.Civ.P. 8(a)(2) requires a 'showing' rather than a blanket assertion of an entitlement to relief""]","Rule 8(a)(2) requires a showing rather than a blanket assertion of an entitlement to relief, and without some factual allegation in the complaint a claimant cannot satisfy the requirement of providing the grounds on which the claim rests.","[{""quote"": ""Fed.R.Civ.P. 8(a)(2) requires a 'showing' rather than a blanket assertion of an entitlement to relief"", ""result"": ""CLOSE"", ""similarity"": 0.9, ""matched_passage"": ""C., 499 F.3d 663, 667 (7th Cir.2007). Put another way, in light of Twombly , Rule 8(a)(2) requires a \u201cshowing\u201d rather than a blanket assertion of an entitlement to relief. We caution that without some factual allegation in the complaint, a claimant c"", ""alterations"": [""fed r civ p -> twombly rule""]}]",CLOSE,Yellow,,,,,,,,,
aliaj-rochelle-park-10,5,Rule 8 does not unlock the doors of discovery for a plaintiff armed with nothing more than conclusions.,,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""does not unlock the doors of discovery for a plaintiff armed with nothing more than conclusions""]",Rule 8 does not unlock the doors of discovery for a plaintiff armed with nothing more than conclusions.,"[{""quote"": ""does not unlock the doors of discovery for a plaintiff armed with nothing more than conclusions"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""departure from the hyperteehnical, code-pleading regime of a prior era, but it does not unlock the doors of discovery for *679 a plaintiff armed with nothing more than conclusions. Second, only a complaint that states a plausible claim for relief survives a m""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-11,5,A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.,,"Lopez v. Beard, 333 Fed. Appx. 685, 687 (3d Cir. 2009)",Miguel A. Lopez v. Jeffrey Beard,,,https://www.courtlistener.com/opinion/3044755/miguel-a-lopez-v-jeffrey-beard/,VERIFIED,,opinions/Miguel_A_Lopez_v_Jeffrey_Beard.html,,"[""A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged""]",A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.,"[{""quote"": ""A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": "", accepted as true, to \u2018state a claim to relief that is plausible on its face.\u2019 A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.\u201d Ashcroft v. Iqbal, \u2014 U.S. -, 129 S.Ct.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-12,5,"A complaint must set forth sufficiently detailed, credible factual allegations which raise a right to relief above the speculative level.",,"Bell Atlantic Corp. v. Twombly, 550 U.S. 544, 570 (2007)",Bell Atlantic Corp. v. Twombly,,,https://www.courtlistener.com/opinion/145730/bell-atlantic-corp-v-twombly/,VERIFIED,,opinions/Bell_Atlantic_Corp_v_Twombly.html,,"[""raise a right to relief above the speculative level""]","A complaint must set forth sufficiently detailed, credible factual allegations which raise a right to relief above the speculative level.","[{""quote"": ""raise a right to relief above the speculative level"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Factual allegations must be enough to raise a right to relief above the speculative level, see 5 C. Wright A. Miller, Federal Practice and Procedure \u00a7 1216, pp.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-13,5,"Where a complaint pleads facts that are merely consistent with a defendant's liability, it stops short of the line between possibility and plausibility of entitlement to relief.",,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""merely consistent with"", ""stops short of the line between possibility and plausibility of entitlement to relief""]","Where a complaint pleads facts that are merely consistent with a defendant's liability, it stops short of the line between possibility and plausibility of entitlement to relief.","[{""quote"": ""merely consistent with"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Ibid. Where a complaint pleads facts that are \u201cmerely consistent with\u201d a defendant\u2019s liability, it \u201cstops short of the line between possibility and p""}, {""quote"": ""stops short of the line between possibility and plausibility of entitlement to relief"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""int pleads facts that are \u201cmerely consistent with\u201d a defendant\u2019s liability, it \u201cstops short of the line between possibility and plausibility of \u2018entitlement to relief.\u2019 \u201d Id., at 557 (brackets omitted).""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-14,5,"If the well-pleaded facts do not permit the court to infer more than the mere possibility of misconduct, the complaint should be dismissed for failing to show that the pleader is entitled to relief.",,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""well-pleaded facts do not permit the court to infer more than the mere possibility of misconduct, the complaint should be dismissed for failing to show that the pleader is entitled to relief""]","If the well-pleaded facts do not permit the court to infer more than the mere possibility of misconduct, the complaint should be dismissed for failing to show that the pleader is entitled to relief.","[{""quote"": ""well-pleaded facts do not permit the court to infer more than the mere possibility of misconduct, the complaint should be dismissed for failing to show that the pleader is entitled to relief"", ""result"": ""CLOSE"", ""similarity"": 0.9, ""matched_passage"": ""490 F. 3d, at 157-158 . But where the well-pleaded facts do not permit the court to infer more than the mere possibility of misconduct, the complaint has alleged \u2014 but it has not \u201cshow[n]\u201d \u2014 \u201cthat the pleader is entitled to relief.\u201d Fed. Rule Civ. Proc. 8(a)(2)."", ""alterations"": [""should be dismissed for failing to -> has alleged but it has not""]}]",CLOSE,Yellow,,,,,,,,,
aliaj-rochelle-park-15,5,Determining whether the allegations in a complaint are plausible is a context-specific task that requires the reviewing court to draw on its judicial experience and common sense.,,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,"[""context-specific task that requires the reviewing court to draw on its judicial experience and common sense""]",Determining whether the allegations in a complaint are plausible is a context-specific task that requires the reviewing court to draw on its judicial experience and common sense.,"[{""quote"": ""context-specific task that requires the reviewing court to draw on its judicial experience and common sense"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""tates a plausible claim for relief will, as the Court of Appeals observed, be a context-specific task that requires the reviewing court to draw on its judicial experience and common sense. 490 F. 3d, at 157-158 .""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-16,6,"On a motion to dismiss, courts are not bound to accept as true a legal conclusion couched as a factual allegation.",,"Papasan v. Allain, 478 U.S. 265, 286 (1986)",Papasan v. Allain,,,https://www.courtlistener.com/opinion/111742/papasan-v-allain/,VERIFIED,,opinions/Papasan_v_Allain.html,,"[""are not bound to accept as true a legal conclusion couched as a factual allegation""]","On a motion to dismiss, courts are not bound to accept as true a legal conclusion couched as a factual allegation.","[{""quote"": ""are not bound to accept as true a legal conclusion couched as a factual allegation"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""o dismiss we must take all the factual allegations in the complaint as true, we are not bound to accept as true a legal conclusion couched as a factual allegation. See, e. g., Briscoe v. LaHue, 663 F.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-17,7,"Section 1983 does not itself provide a source of substantive rights, but rather allows for the vindication of federal rights conferred by other federal statutes, rules or regulations.",,"Albright v. Oliver, 510 U.S. 266, 271 (1994)",Albright v. Oliver,,,https://www.courtlistener.com/opinion/112924/albright-v-oliver/,VERIFIED,,opinions/Albright_v_Oliver.html,,[],"Section 1983 does not itself provide a source of substantive rights, but rather allows for the vindication of federal rights conferred by other federal statutes, rules or regulations.",[],NO_QUOTES,,,,,,,,,,
aliaj-rochelle-park-18,7,"Section 1983 does not itself provide a source of substantive rights, but rather allows for the vindication of federal rights conferred by other federal statutes, rules or regulations.",,"Baker v. McCollan, 443 U.S. 137, 144 n.3 (1979)",Baker v. McCollan,,,https://www.courtlistener.com/opinion/110132/baker-v-mccollan/,VERIFIED,,opinions/Baker_v_McCollan.html,,[],"Section 1983 does not itself provide a source of substantive rights, but rather allows for the vindication of federal rights conferred by other federal statutes, rules or regulations.",[],NO_QUOTES,,,,,,,,,,
aliaj-rochelle-park-19,7,"In evaluating a Section 1983 claim, the court must first identify the exact contours of the underlying right said to have been violated and determine whether the plaintiff has alleged a deprivation of a constitutional right at all.",,"Nicini v. Morra, 212 F.3d 798, 806 (3d Cir. 2000)",Nicini v. Morra,,,https://www.courtlistener.com/opinion/3011374/nicini-v-morra/,VERIFIED,,opinions/Nicini_v_Morra.html,,"[""identify the exact contours of the underlying right said to have been violated"", ""determine whether the plaintiff has alleged a deprivation of a constitutional right at all""]","In evaluating a Section 1983 claim, the court must first identify the exact contours of the underlying right said to have been violated and determine whether the plaintiff has alleged a deprivation of a constitutional right at all.","[{""quote"": ""identify the exact contours of the underlying right said to have been violated"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""The first step in evaluating a section 1983 claim is to \u201cidentify the exact contours of the underlying right said to have been violated\u201d and to determine \u201cwhether the plaintiff has alleged a deprivation of a constit""}, {""quote"": ""determine whether the plaintiff has alleged a deprivation of a constitutional right at all"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""y the exact contours of the underlying right said to have been violated\u201d and to determine \u201cwhether the plaintiff has alleged a deprivation of a constitutional right at all.\u201d County of Sacramento v. Lewis, 523 U.S. 833 , 841 n. 5, 118 S.Ct.""}]",VERBATIM,,,,,,,,,,
aliaj-rochelle-park-20,10,"A Section 1983 claim against a municipality must be dismissed where the complaint does not plausibly allege that a municipal policy, custom or practice resulted in the deprivation of constitutional rights.",,"Monell v. Department of Social Services, 436 U.S. 658, 694 (1978)",Monell v. New York City Dept. of Social Servs.,,,https://www.courtlistener.com/opinion/109881/monell-v-new-york-city-dept-of-social-servs/,VERIFIED,,opinions/Monell_v_New_York_City_Dept_of_Social_Servs.html,,[],"A Section 1983 claim against a municipality must be dismissed where the complaint does not plausibly allege that a municipal policy, custom or practice resulted in the deprivation of constitutional rights.",[],NO_QUOTES,,,,,,,,,,
aliaj-rochelle-park-21,10,At the initial pleadings stage a plaintiff must allege facts demonstrating that a municipal policy or custom was the predicate behind the alleged damages.,,"Monell v. Department of Social Services, 436 U.S. 658, 694 (1978)",Monell v. New York City Dept. of Social Servs.,,,https://www.courtlistener.com/opinion/109881/monell-v-new-york-city-dept-of-social-servs/,VERIFIED,,opinions/Monell_v_New_York_City_Dept_of_Social_Servs.html,,[],At the initial pleadings stage a plaintiff must allege facts demonstrating that a municipal policy or custom was the predicate behind the alleged damages.,[],NO_QUOTES,,,,,,,,,,
aliaj-rochelle-park-22,12,N.J.S.A. 59:3-3 provides a qualified immunity for public employees when they act in good faith in the enforcement or execution of any law.,,"Bombace v. City of Newark, 125 N.J. 361, 367-372 (1991)",Bombace v. City of Newark,,,https://www.courtlistener.com/opinion/2369696/bombace-v-city-of-newark/,VERIFIED,,opinions/Bombace_v_City_of_Newark.html,,[],N.J.S.A. 59:3-3 provides a qualified immunity for public employees when they act in good faith in the enforcement or execution of any law.,[],NO_QUOTES,,,,,,,,,,
