claim_id,verdict,checks_low,reasons,as_written,coverage,whose_view,same_issue,cited_case,proposition
aliaj-rochelle-park-01,LOOKS OK,0,,0.99,0.99,1.0,0.98,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)","To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face."
aliaj-rochelle-park-02,REVIEW,1,as_written: fully,0.57,0.88,1.0,0.87,"Bell Atlantic Corp. v. Twombly, 550 U.S. 544, 570 (2007)","To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face."
aliaj-rochelle-park-03,LOOKS OK,0,,0.99,0.99,1.0,0.97,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.
aliaj-rochelle-park-04,LOOKS OK,0,,0.99,0.99,1.0,0.97,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",The plausibility standard requires more than a sheer possibility that a defendant has acted unlawfully.
aliaj-rochelle-park-05,LOOKS OK,0,,0.98,1.0,1.0,0.93,"Burtch v. Milberg Factors, Inc., 662 F.3d 212, 220 (3d Cir. ","A plaintiff's obligation to provide the grounds of his entitlement to relief requires more than labels and conclusions, and a formulaic recitation of the elements of a cause of action will not do."
aliaj-rochelle-park-06,LOOKS OK,0,,0.99,1.0,1.0,0.85,"Burtch v. Milberg Factors, Inc., 662 F.3d 212, 220 (3d Cir. ","When reviewing a motion to dismiss, the complaint is construed in the light most favorable to the plaintiff."
aliaj-rochelle-park-07,LOOKS OK,0,,0.99,1.0,1.0,0.97,"Evancho v. Fisher, 423 F.3d 347, 351 (3d Cir. 2005)",A court need not credit either bald assertions or legal conclusions in a complaint when deciding a motion to dismiss.
aliaj-rochelle-park-08,PROBLEM,0,quoted text is altered (fed r civ p -> rule),0.99,1.0,1.0,0.96,"Phillips v. County of Allegheny, 515 F.3d 224, 232 (3d Cir. ",Situations may arise where the factual detail in a complaint is so undeveloped that it does not provide a defendant the type of notice of claim which is contemplated by Rule 8.
aliaj-rochelle-park-09,PROBLEM,0,quoted text is altered (fed r civ p -> twombly rule),0.84,0.99,1.0,0.95,"Phillips v. County of Allegheny, 515 F.3d 224, 232 (3d Cir. ","Rule 8(a)(2) requires a showing rather than a blanket assertion of an entitlement to relief, and without some factual allegation in the complaint a claimant cannot satisfy the requirement of providing the grounds on which the claim rests."
aliaj-rochelle-park-10,LOOKS OK,0,,0.99,0.98,1.0,0.96,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Rule 8 does not unlock the doors of discovery for a plaintiff armed with nothing more than conclusions.
aliaj-rochelle-park-11,LOOKS OK,0,,0.99,1.0,1.0,0.96,"Lopez v. Beard, 333 Fed. Appx. 685, 687 (3d Cir. 2009)",A claim has facial plausibility when the plaintiff pleads factual content that allows the court to draw the reasonable inference that the defendant is liable for the misconduct alleged.
aliaj-rochelle-park-12,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.33,0.46,1.0,0.81,"Bell Atlantic Corp. v. Twombly, 550 U.S. 544, 570 (2007)","A complaint must set forth sufficiently detailed, credible factual allegations which raise a right to relief above the speculative level."
aliaj-rochelle-park-13,LOOKS OK,0,,0.96,0.99,1.0,0.97,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)","Where a complaint pleads facts that are merely consistent with a defendant's liability, it stops short of the line between possibility and plausibility of entitlement to relief."
aliaj-rochelle-park-14,PROBLEM,0,quoted text is altered (should be dismissed for failing to -> has alleged but it has not),0.94,0.83,1.0,0.97,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)","If the well-pleaded facts do not permit the court to infer more than the mere possibility of misconduct, the complaint should be dismissed for failing to show that the pleader is entitled to relief."
aliaj-rochelle-park-15,LOOKS OK,0,,0.9,0.97,1.0,0.97,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Determining whether the allegations in a complaint are plausible is a context-specific task that requires the reviewing court to draw on its judicial experience and common sense.
aliaj-rochelle-park-16,LOOKS OK,0,,0.97,0.99,1.0,0.95,"Papasan v. Allain, 478 U.S. 265, 286 (1986)","On a motion to dismiss, courts are not bound to accept as true a legal conclusion couched as a factual allegation."
aliaj-rochelle-park-17,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.19,0.47,1.0,0.84,"Albright v. Oliver, 510 U.S. 266, 271 (1994)","Section 1983 does not itself provide a source of substantive rights, but rather allows for the vindication of federal rights conferred by other federal statutes, rules or regulations."
aliaj-rochelle-park-18,REVIEW,1,adds to or strengthens what the opinion says,0.46,0.62,1.0,0.79,"Baker v. McCollan, 443 U.S. 137, 144 n.3 (1979)","Section 1983 does not itself provide a source of substantive rights, but rather allows for the vindication of federal rights conferred by other federal statutes, rules or regulations."
aliaj-rochelle-park-19,LOOKS OK,0,,0.95,0.99,1.0,0.95,"Nicini v. Morra, 212 F.3d 798, 806 (3d Cir. 2000)","In evaluating a Section 1983 claim, the court must first identify the exact contours of the underlying right said to have been violated and determine whether the plaintiff has alleged a deprivation of a constitutional right at all."
aliaj-rochelle-park-20,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.09,0.19,0.85,0.92,"Monell v. Department of Social Services, 436 U.S. 658, 694 (","A Section 1983 claim against a municipality must be dismissed where the complaint does not plausibly allege that a municipal policy, custom or practice resulted in the deprivation of constitutional rights."
aliaj-rochelle-park-21,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.02,0.06,0.7,0.73,"Monell v. Department of Social Services, 436 U.S. 658, 694 (",At the initial pleadings stage a plaintiff must allege facts demonstrating that a municipal policy or custom was the predicate behind the alleged damages.
aliaj-rochelle-park-22,LOOKS OK,0,,0.92,0.99,1.0,0.92,"Bombace v. City of Newark, 125 N.J. 361, 367-372 (1991)",N.J.S.A. 59:3-3 provides a qualified immunity for public employees when they act in good faith in the enforcement or execution of any law.
aliaj-rochelle-park-23,LOOKS OK,0,,0.93,0.97,1.0,0.93,"Alston v. City of Camden, 168 N.J. 170, 186 (2001)","To qualify for the immunity established in N.J.S.A. 59:3-3, a public employee must demonstrate objective reasonableness or that he behaved with subjective good faith."
aliaj-rochelle-park-24,LOOKS OK,0,,0.82,0.9,0.99,0.77,"Fielder v. Stonack, 141 N.J. 101, 132 (1995)","To qualify for the immunity established in N.J.S.A. 59:3-3, a public employee must demonstrate objective reasonableness or that he behaved with subjective good faith."
aliaj-rochelle-park-25,LOOKS OK,0,,0.59,0.79,1.0,0.96,"Gurski v. New Jersey State Police Dept., 242 N.J. Super. 148",The standard of reasonableness and good faith applicable to the immunity afforded under N.J.S.A. 59:3-3 is based on the same standard that applies to qualified immunity for law enforcement officials in Section 1983 civil rights cases.
aliaj-rochelle-park-26,LOOKS OK,0,,0.82,0.95,1.0,0.97,"Anderson v. Creighton, 483 U.S. 635, 641 (1987)","In evaluating the good faith actions of police officers engaged in law enforcement activities, the focus is whether a reasonable law enforcement officer could have believed his actions were lawful, in light of clearly established law and the information available to the officer at the time."
aliaj-rochelle-park-27,LOOKS OK,0,,0.85,0.97,1.0,0.94,"Kirk v. City of Newark, 109 N.J. 173, 179 (1988)","The New Jersey Supreme Court has interpreted Section 1983 to limit the rights of plaintiffs and to encourage disposition of actions as a matter of law when those actions arise out of alleged unlawful arrest, search or seizure by a law enforcement officer."
aliaj-rochelle-park-28,PROBLEM,0,the citation could not be verified (WRONG_CASE),,,,,"Tice v. Cramer, 133 N.J. 247 (1993)",A public entity is shielded by any immunity or defense that would shield its employee from liability.
aliaj-rochelle-park-29,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.01,0.07,0.85,0.78,"Brown v. City of Bordentown, 348 N.J. Super. 143, 148-149, 1",A public entity is shielded by any immunity or defense that would shield its employee from liability.
aliaj-rochelle-park-30,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.14,0.4,1.0,0.87,"Simmons v. Loose, 418 N.J. Super. 206, 222 (App. Div. 2011)","Determination of immunity for public employees and public entities in a Section 1983 action should be decided early in the litigation, such as on a motion for dismissal under Rule 12(b)(6)."
